,DMI,AO,AMON,NAO,NINO,PDO
1982-01-01,0.144,-0.883,-0.089,-0.72,0.0,0.11
1982-02-01,0.166,0.974,-0.086,2.25,0.1,-0.19
1982-03-01,0.054,1.074,-0.088,1.66,0.2,-0.37
1982-04-01,0.119,1.454,-0.19,-0.99,0.5,-0.7
1982-05-01,0.223,-0.209,-0.199,1.1,0.7,-1.21
1982-06-01,0.255,-1.18,-0.192,-1.86,0.7,-0.99
1982-07-01,0.265,0.005,-0.236,-0.65,0.8,0.12
1982-08-01,0.256,0.362,-0.317,1.45,1.1,-0.08
1982-09-01,0.442,0.558,-0.315,1.08,1.6,0.51
1982-10-01,0.623,-0.211,-0.379,0.32,2.0,0.15
1982-11-01,0.284,0.661,-0.425,1.71,2.2,-0.6
1982-12-01,-0.162,0.967,-0.388,2.64,2.2,0.16
1983-01-01,-0.482,1.359,-0.306,4.82,2.2,0.4
1983-02-01,-0.587,-1.806,-0.112,-1.25,1.9,0.97
1983-03-01,-0.752,-0.567,0.073,1.79,1.5,1.73
